51% Attack,dataset,happy_nonZero,angry_nonZero,surprise_nonZero,sad_nonZero,fear_nonZero,happy_only,angry_only,surprise_only,sad_only,fear_only,happy_angry,happy_surprise,happy_sad,happy_fear,angry_surprise,angry_sad,angry_fear,surprise_sad,surprise_fear,sad_fear,happy_angry_surprise,happy_angry_sad,happy_angry_fear,happy_surprise_sad,happy_surprise_fear,happy_sad_fear,angry_surprise_sad,angry_surprise_fear,angry_sad_fear,surprise_sad_fear,happy_angry_surprise_sad,happy_angry_surprise_fear,happy_angry_sad_fear,happy_surprise_sad_fear,angry_surprise_sad_fear,happy_angry_surprise_sad_fear,happy_angry_surprise_sad_fear_allZero,happy_nonZero%,angry_nonZero%,surprise_nonZero%,sad_nonZero%,fear_nonZero%,happy_angry_surprise_sad_fear_allZero%_1,"(hv,-,-,-,-)","(-,av,-,-,-)","(-,-,sv,-,-)","(-,-,-,dv,-)","(-,-,-,-,fv)","(hv,av,-,-,-)","(hv,-,sv,-,-)","(hv,-,-,dv,-)","(hv,-,-,-,fv)","(-,av,sv,-,-)","(-,av,-,dv,-)","(-,av,-,-,fv)","(-,-,sv,dv,-)","(-,-,sv,-,fv)","(-,-,-,dv,fv)","(hv,av,sv,-,-)","(hv,av,-,dv,-)","(hv,av,-,-,fv)","(hv,-,sv,dv,-)","(hv,-,sv,-,fv)","(hv,-,-,dv,fv)","(-,av,sv,dv,-)","(-,av,sv,-,fv)","(-,av,-,dv,fv)","(-,-,sv,dv,fv)","(hv,av,sv,dv,-)","(hv,av,sv,-,fv)","(hv,av,-,dv,fv)","(hv,-,sv,dv,fv)","(-,av,sv,dv,fv)","(hv,av,sv,dv,fv)","(0,0,0,0,0)"
Bitcoin SV [3 August 2021],whole,162,166,238,247,498,45,55,39,47,170,1,5,18,26,16,20,21,6,104,80,1,2,13,6,12,14,5,4,9,18,0,5,5,8,8,1,395,9.495896835,9.730363423,13.95076202,14.47831184,29.19109027,23.15357562,3.882657463,4.745470233,3.364969802,4.055220017,14.66781708,0.086281277,0.431406385,1.553062985,2.243313201,1.380500431,1.725625539,1.811906816,0.517687662,8.973252804,6.902502157,0.086281277,0.172562554,1.121656601,0.517687662,1.035375324,1.207937877,0.431406385,0.345125108,0.776531493,1.553062985,0,0.431406385,0.431406385,0.690250216,0.690250216,0.086281277,34.0811044
Feathercoin [8 June 2013],subset,0,8,1,13,6,0,6,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,25.80645161,3.225806452,41.93548387,19.35483871,9.677419355,0,23.07692308,0,42.30769231,15.38461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,0,0,3.846153846,0,11.53846154
Bitcoin [16 June 2014],subset,201,896,835,1636,2109,45,25,54,62,560,48,4,9,45,17,17,133,407,145,456,1,2,3,6,2,14,0,84,537,99,0,4,15,2,9,1,603,3.200636943,14.26751592,13.29617834,26.05095541,33.58280255,9.601910828,1.320035201,0.733352889,1.584042241,1.818715166,16.42710472,1.408037548,0.117336462,0.26400704,1.320035201,0.498679965,0.498679965,3.901437372,11.93898504,4.253446759,13.3763567,0.029334116,0.058668231,0.088002347,0.176004693,0.058668231,0.410677618,0,2.464065708,15.75242006,2.904077442,0,0.117336462,0.440011734,0.058668231,0.26400704,0.029334116,17.68847169
Verge [4 April 2018],subset,54,202,112,185,327,3,49,36,21,161,1,3,6,14,4,63,34,11,25,29,1,1,3,1,5,5,3,6,24,6,1,1,5,3,5,1,68,5.696202532,21.30801688,11.81434599,19.51476793,34.49367089,7.172995781,0.500834725,8.180300501,6.010016694,3.505843072,26.87813022,0.166944908,0.500834725,1.001669449,2.337228715,0.667779633,10.51752922,5.676126878,1.83639399,4.173622705,4.841402337,0.166944908,0.166944908,0.500834725,0.166944908,0.834724541,0.834724541,0.500834725,1.001669449,4.006677796,1.001669449,0.166944908,0.166944908,0.834724541,0.500834725,0.834724541,0.166944908,11.35225376
Bitcoin Gold [16-19 May 2018],subset,74,374,133,599,345,6,17,49,108,132,2,1,11,11,5,282,9,9,15,100,1,4,4,3,2,10,13,2,17,20,0,1,10,5,4,3,156,4.402141582,22.24866151,7.911957168,35.63355146,20.52349792,9.280190363,0.592885375,1.679841897,4.841897233,10.67193676,13.04347826,0.197628458,0.098814229,1.086956522,1.086956522,0.494071146,27.86561265,0.889328063,0.889328063,1.482213439,9.881422925,0.098814229,0.395256917,0.395256917,0.296442688,0.197628458,0.988142292,1.28458498,0.197628458,1.679841897,1.976284585,0,0.098814229,0.988142292,0.494071146,0.395256917,0.296442688,15.41501976
Verge [21-22 May 2018],subset,83,100,128,144,256,24,21,45,48,85,1,4,7,18,2,1,43,12,27,28,1,1,2,1,1,9,2,6,6,14,0,2,4,3,3,5,259,8.556701031,10.30927835,13.19587629,14.84536082,26.39175258,26.70103093,3.503649635,3.065693431,6.569343066,7.00729927,12.40875912,0.145985401,0.583941606,1.02189781,2.627737226,0.291970803,0.145985401,6.277372263,1.751824818,3.941605839,4.087591241,0.145985401,0.145985401,0.291970803,0.145985401,0.145985401,1.313868613,0.291970803,0.875912409,0.875912409,2.04379562,0,0.291970803,0.583941606,0.437956204,0.437956204,0.729927007,37.81021898
Litecoin Cash [30 May 2018],subset,0,0,2,1,4,0,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,7.142857143,3.571428571,14.28571429,75,0,0,7.142857143,3.571428571,14.28571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
Vertcoin  [12 Oct - 2 Dec 2018],subset,24,87,39,112,161,2,9,10,25,103,1,4,0,6,1,50,8,2,4,17,5,0,2,0,2,2,1,2,7,7,0,0,0,0,1,0,111,4.494382022,16.29213483,7.303370787,20.97378277,30.14981273,20.78651685,0.523560209,2.356020942,2.617801047,6.544502618,26.96335079,0.261780105,1.047120419,0,1.570680628,0.261780105,13.08900524,2.094240838,0.523560209,1.047120419,4.45026178,1.308900524,0,0.523560209,0,0.523560209,0.523560209,0.261780105,0.523560209,1.832460733,1.832460733,0,0,0,0,0.261780105,0,29.05759162
Ethereum Classic [5-8 January 2019],subset,240,426,895,622,2419,18,91,368,198,1400,4,30,3,139,32,8,233,79,281,225,2,0,6,1,12,10,2,16,24,57,1,2,2,9,2,1,1209,4.13009809,7.330924109,15.40182413,10.70383755,41.627947,20.80536913,0.403135498,2.038073908,8.241881299,4.434490482,31.3549832,0.089585666,0.671892497,0.06718925,3.113101904,0.71668533,0.179171333,5.218365062,1.769316909,6.293393057,5.039193729,0.044792833,0,0.134378499,0.022396417,0.268756999,0.223964166,0.044792833,0.358342665,0.537513998,1.276595745,0.022396417,0.044792833,0.044792833,0.201567749,0.044792833,0.022396417,27.07726764
Litecoin Cash [4-7 July 2019],subset,0,1,6,2,53,0,0,3,0,49,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1.5625,9.375,3.125,82.8125,3.125,0,0,5.172413793,0,84.48275862,0,0,0,0,0,0,0,0,3.448275862,1.724137931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.724137931,0,3.448275862
Vertcoin  [1 December 2019],subset,18,39,78,83,135,6,5,13,4,84,0,1,2,1,0,6,21,50,7,7,0,0,2,2,1,3,0,0,5,4,0,0,0,0,0,0,154,3.550295858,7.692307692,15.38461538,16.37080868,26.62721893,30.37475345,1.587301587,1.322751323,3.439153439,1.058201058,22.22222222,0,0.264550265,0.529100529,0.264550265,0,1.587301587,5.555555556,13.22751323,1.851851852,1.851851852,0,0,0.529100529,0.529100529,0.264550265,0.793650794,0,0,1.322751323,1.058201058,0,0,0,0,0,0,40.74074074
Bitcoin Gold [23-24 January 2020],subset,27,274,24,123,205,2,218,6,19,69,1,0,3,15,6,14,26,0,4,75,0,0,2,0,1,2,0,1,3,4,0,0,1,0,2,0,120,3.492884864,35.44631307,3.104786546,15.91203105,26.52005175,15.52393273,0.336700337,36.7003367,1.01010101,3.198653199,11.61616162,0.168350168,0,0.505050505,2.525252525,1.01010101,2.356902357,4.377104377,0,0.673400673,12.62626263,0,0,0.336700337,0,0.168350168,0.336700337,0,0.168350168,0.505050505,0.673400673,0,0,0.168350168,0,0.336700337,0,20.2020202
Bitcoin Gold [2-10 July 2020],subset,6,5,15,27,69,0,1,4,14,46,0,0,0,3,0,0,1,1,2,8,0,0,0,0,2,1,0,3,0,3,0,0,0,0,0,0,129,2.390438247,1.992031873,5.976095618,10.75697211,27.49003984,51.39442231,0,0.458715596,1.834862385,6.422018349,21.10091743,0,0,0,1.376146789,0,0,0.458715596,0.458715596,0.917431193,3.669724771,0,0,0,0,0.917431193,0.458715596,0,1.376146789,0,1.376146789,0,0,0,0,0,0,59.17431193
Ethereum Classic [29 July - 1 August 2020],subset,107,69,124,95,334,57,38,41,14,196,0,1,10,16,6,4,17,5,40,32,0,0,0,5,7,6,0,1,1,11,0,0,0,5,2,0,385,9.60502693,6.193895871,11.13105925,8.527827648,29.98204668,34.56014363,6.333333333,4.222222222,4.555555556,1.555555556,21.77777778,0,0.111111111,1.111111111,1.777777778,0.666666667,0.444444444,1.888888889,0.555555556,4.444444444,3.555555556,0,0,0,0.555555556,0.777777778,0.666666667,0,0.111111111,0.111111111,1.222222222,0,0,0,0.555555556,0.222222222,0,42.77777778
Ethereum Classic [5 August 2020],subset,156,116,141,155,355,79,52,40,30,148,0,1,16,21,7,4,41,7,39,47,0,0,0,4,10,12,0,2,2,15,0,0,2,10,5,1,372,12.04633205,8.957528958,10.88803089,11.96911197,27.41312741,28.72586873,8.169596691,5.37745605,4.136504654,3.10237849,15.30506722,0,0.103412616,1.654601861,2.171664943,0.723888314,0.413650465,4.23991727,0.723888314,4.033092037,4.860392968,0,0,0,0.413650465,1.034126163,1.240951396,0,0.206825233,0.206825233,1.551189245,0,0,0.206825233,1.034126163,0.517063082,0.103412616,38.46949328
Ethereum Classic [29 August 2020],subset,29,201,39,60,181,4,136,9,16,73,1,0,2,7,4,1,48,2,11,16,1,0,3,0,0,7,1,0,4,8,0,1,1,2,0,0,348,3.37995338,23.42657343,4.545454545,6.993006993,21.0955711,40.55944056,0.566572238,19.26345609,1.274787535,2.266288952,10.33994334,0.141643059,0,0.283286119,0.991501416,0.566572238,0.141643059,6.798866856,0.283286119,1.558073654,2.266288952,0.141643059,0,0.424929178,0,0,0.991501416,0.141643059,0,0.566572238,1.133144476,0,0.141643059,0.141643059,0.283286119,0,0,49.2917847
Bitcoin SV [24 June - 9 July 2021],subset,19,11,23,22,62,2,0,3,2,21,0,1,0,9,0,0,1,2,10,4,0,0,2,0,0,3,0,0,4,4,0,1,1,0,2,0,24,11.80124224,6.832298137,14.28571429,13.66459627,38.50931677,14.9068323,2.083333333,0,3.125,2.083333333,21.875,0,1.041666667,0,9.375,0,0,1.041666667,2.083333333,10.41666667,4.166666667,0,0,2.083333333,0,0,3.125,0,0,4.166666667,4.166666667,0,1.041666667,1.041666667,0,2.083333333,0,25
Bitcoin SV [3 August 2021],subset,35,103,104,105,248,3,44,7,17,85,1,1,5,9,6,19,16,0,69,42,0,1,2,1,3,2,2,2,3,5,0,2,2,3,3,0,169,4.581151832,13.48167539,13.61256545,13.7434555,32.46073298,22.12041885,0.572519084,8.396946565,1.335877863,3.244274809,16.22137405,0.190839695,0.190839695,0.954198473,1.717557252,1.145038168,3.625954198,3.053435115,0,13.16793893,8.015267176,0,0.190839695,0.381679389,0.190839695,0.572519084,0.381679389,0.381679389,0.381679389,0.572519084,0.954198473,0,0.381679389,0.381679389,0.572519084,0.572519084,0,32.2519084
